%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	trialNum	tags
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0220.jpg			212	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0221.jpg			213	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0222.jpg			214	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0223.jpg			215	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0224.jpg			216	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0225.jpg			217	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0226.jpg			218	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0227.jpg			219	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0228.jpg			220	3
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0229.jpg			221	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0243.jpg			222	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0230.jpg			223	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0231.jpg			224	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0244.jpg			225	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0232.jpg			226	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0233.jpg			227	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0234.jpg			228	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0235.jpg			229	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0236.jpg			230	3
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0237.jpg			231	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0238.jpg			232	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0239.jpg			233	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0240.jpg			234	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0241.jpg			235	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0242.jpg			236	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0243.jpg			237	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0244.jpg			238	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0245.jpg			239	3
